Diaj,ETC0,ND3,ND4,ETC0_cfg2,ND3_cfg2,ND4_cfg2
736712.5,1607.36329846118,-13.3498789996102,NaN,1607.36329846118,-13.3498789996102,NaN
736714,1630.72797777624,5.62324856131067,NaN,1630.72797777624,5.62324856131067,NaN
736714.5,1609.02307297823,-1.70310818083158,NaN,1609.02307297823,-1.70310818083158,NaN
736715,1625.84446534065,11.358171751237,NaN,1625.84446534065,11.358171751237,NaN
736715.5,NaN,NaN,NaN,NaN,NaN,NaN
736717,1634.25501748254,2.91081507775812,NaN,1634.25501748254,2.91081507775812,NaN
736717.5,1622.47883251895,10.4674822606453,NaN,1622.47883251895,10.4674822606453,NaN
736718,1635.75501820056,1.21161996257479,NaN,1635.75501820056,1.21161996257479,NaN
736718.5,1589.43494869462,1.88827801147499,NaN,1589.43494869462,1.88827801147499,NaN
736719,1605.16719549715,0.0440959150182607,NaN,1605.16719549715,0.0440959150182607,NaN
736719.5,NaN,NaN,NaN,NaN,NaN,NaN
736720,1555.51363876646,26.5053967034162,NaN,1555.51363876646,26.5053967034162,NaN
736720.5,1580.91493595497,9.40177729374204,NaN,1580.91493595497,9.40177729374204,NaN
736722,1571.87895274909,3.52098052057113,NaN,1571.87895274909,3.52098052057113,NaN
736722.5,1647.64604712681,-5.30667644347386,NaN,1647.64604712681,-5.30667644347386,NaN
736723,NaN,NaN,NaN,NaN,NaN,NaN
736723.5,1632.53338365659,2.66111142644286,NaN,1632.53338365659,2.66111142644286,NaN
736724,1553.48541634172,21.5402029090703,NaN,1553.48541634172,21.5402029090703,NaN
736724.5,NaN,NaN,NaN,NaN,NaN,NaN
736728,NaN,NaN,NaN,NaN,NaN,NaN
736728.5,1608.73778274294,3.17043988101796,NaN,1608.73778274294,3.17043988101796,NaN
736729,1628.27447032599,-1.97192933082079,NaN,1628.27447032599,-1.97192933082079,NaN
736729.5,1596.8644603059,5.51526299704051,NaN,1596.8644603059,5.51526299704051,NaN
736730,1639.30868817988,-4.72134493835051,NaN,1639.30868817988,-4.72134493835051,NaN
736730.5,1636.18540333044,-3.02647910805717,NaN,1636.18540333044,-3.02647910805717,NaN
736731,1607.40762268409,5.62320592152719,NaN,1607.40762268409,5.62320592152719,NaN
736731.5,1645.31068127254,-2.15527850642047,NaN,1645.31068127254,-2.15527850642047,NaN
736732,1626.85272045711,5.60391766475664,NaN,1626.85272045711,5.60391766475664,NaN
736732.5,1593.04359024911,7.52628984964895,NaN,1593.04359024911,7.52628984964895,NaN
736733,1632.32689097656,-4.36570018209795,NaN,1632.32689097656,-4.36570018209795,NaN
736733.5,1610.69739261387,-2.83481499557001,NaN,1610.69739261387,-2.83481499557001,NaN
736734,NaN,NaN,NaN,NaN,NaN,NaN
736734.5,1604.57306107439,NaN,NaN,1604.57306107439,NaN,NaN
736739,NaN,NaN,NaN,NaN,NaN,NaN
736739.5,1630.5249342262,3.63480157601316,NaN,1630.5249342262,3.63480157601316,NaN
736743,NaN,NaN,NaN,NaN,NaN,NaN
736743.5,1632.71960812935,-3.9114702276097,NaN,1632.71960812935,-3.9114702276097,NaN
736745,NaN,NaN,NaN,NaN,NaN,NaN
736745.5,1621.07861890266,-3.54502139513806,NaN,1621.07861890266,-3.54502139513806,NaN
736748,1591.93303983265,-0.291327584509418,NaN,1591.93303983265,-0.291327584509418,NaN
736748.5,NaN,NaN,NaN,NaN,NaN,NaN
736751,1618.73278755748,-4.11608790841365,NaN,1618.73278755748,-4.11608790841365,NaN
736751.5,NaN,NaN,NaN,NaN,NaN,NaN
736753,NaN,NaN,NaN,NaN,NaN,NaN
736753.5,1631.54840161559,-11.8902425574804,NaN,1631.54840161559,-11.8902425574804,NaN
736754,NaN,NaN,NaN,NaN,NaN,NaN
736754.5,1589.48206685738,8.2032770166054,NaN,1589.48206685738,8.2032770166054,NaN
736756,NaN,NaN,NaN,NaN,NaN,NaN
