Diaj,ETC0,ND3,ND4,ETC0_cfg2,ND3_cfg2,ND4_cfg2
737254,NaN,NaN,NaN,NaN,NaN,NaN
737254.5,1623.4167060889,2.28133181552721,3.26803658009226,1623.4167060889,2.28133181552721,3.26803658009226
737255,1628.57421081737,-3.96071565479906,-0.769845471327926,1633.78458236328,-5.40490729224166,-2.94601921179196
737255.5,NaN,NaN,NaN,NaN,NaN,NaN
737256,1616.90106898049,2.38983969780998,6.43132892044059,1623.00482168947,0.150381333986161,3.39902169195602
737256.5,1608.1798977783,10.0816357788776,8.99791695897102,1608.1798977783,10.0816357788776,8.99791695897102
737257,1598.23021605706,9.76433150720482,16.9188268713476,1600.33184355757,9.96152645792586,16.3108124038538
737257.5,NaN,NaN,NaN,NaN,NaN,NaN
737258,1622.04841012404,1.06020698105658,5.17053309847779,1624.59097348906,1.43374872677668,4.7144184319236
737258.5,NaN,NaN,NaN,NaN,NaN,NaN
737261,NaN,NaN,NaN,NaN,NaN,NaN
737261.5,1626.64963841545,3.49479930029224,NaN,1626.64963841545,3.49479930029224,NaN
737262,NaN,NaN,NaN,NaN,NaN,NaN
737262.5,1607.81999975194,11.4528786991423,NaN,1607.81999975194,11.4528786991423,NaN
737263,1613.59506196265,10.4092740259857,NaN,1616.32316279449,9.11149288641491,NaN
737263.5,1616.31646467196,7.27012942643182,6.77940934979506,1616.31646467196,7.27012942643182,6.77940934979506
737264,1625.19441552304,5.41969222940179,NaN,1629.45382092354,5.06078399857302,NaN
737264.5,NaN,NaN,NaN,NaN,NaN,NaN
737265,1605.07540262108,12.0081281148045,NaN,1611.14388102187,10.1713390550337,NaN
737265.5,NaN,NaN,NaN,NaN,NaN,NaN
737266,1620.42005205731,5.84210344422149,NaN,1621.83380360492,3.98079322016861,NaN
737266.5,NaN,NaN,NaN,NaN,NaN,NaN
737286,NaN,NaN,NaN,NaN,NaN,NaN
737286.5,1608.2249896682,10.1818304883773,17.3512716791906,1608.2249896682,10.1818304883773,17.3512716791906
737288,1618.7512300695,-1.77688074642992,2.33256992540805,1620.10499081682,-0.974963147503786,2.51143324361374
737288.5,1610.06190175253,7.43514482692785,6.72539155683057,1610.06190175253,7.43514482692785,6.72539155683057
737289,1614.72521468448,7.10683763636007,10.3233843984756,1616.635689475,6.8692899700618,9.98306366425436
737289.5,NaN,NaN,NaN,NaN,NaN,NaN
737290,1619.30140418679,8.35948052227468,15.5848358232004,1623.8950869862,7.36430007075842,13.2331705383513
737290.5,NaN,NaN,NaN,NaN,NaN,NaN
737291,1611.47206524341,10.5268926844101,19.5188790893126,1617.46900736987,8.05436691542013,15.6492010427849
737291.5,NaN,NaN,NaN,NaN,NaN,NaN
737293,1631.0474219161,1.79712512743345,8.56209749677782,1638.14212099383,-0.619051878402388,5.16362486750404
