%date dayj clear_AM clear_PM
735539.000000 305 1 1
735540.000000 306 0 0
735542.000000 308 0 0
735543.000000 309 0 0
735544.000000 310 0 0
735545.000000 311 0 0
735546.000000 312 0 0
735547.000000 313 0 1
735548.000000 314 1 1
735549.000000 315 1 1
735550.000000 316 1 1
735551.000000 317 1 0
735552.000000 318 0 1
735553.000000 319 0 0
735554.000000 320 0 0
735555.000000 321 0 0
735556.000000 322 0 0
735557.000000 323 0 0
735558.000000 324 0 0
735559.000000 325 0 0
735560.000000 326 1 1
735561.000000 327 1 1
735562.000000 328 0 1
735563.000000 329 0 1
735564.000000 330 1 0
735565.000000 331 0 0
735566.000000 332 0 0
735567.000000 333 0 0
735571.000000 337 0 0
735572.000000 338 0 0
735573.000000 339 0 0
735574.000000 340 0 0
735575.000000 341 0 0
735576.000000 342 0 0
735586.000000 352 1 1
735587.000000 353 1 1
735588.000000 354 0 0
735589.000000 355 0 0
735590.000000 356 0 0
735591.000000 357 0 0
735592.000000 358 0 0
735593.000000 359 0 0
735594.000000 360 1 1
735595.000000 361 0 0
735596.000000 362 0 0
735597.000000 363 0 0
735598.000000 364 0 0
